"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"37492","ABRACADEIRA 4,5"" CROMADA C/ SUPORTE RETO ALÇA","","","","","","","","B072Q","","","","","6985","","PC ","54.09 ","","54.09 ","","","S1   ","5.00 ","8.00 ","","-3","SALÃO OK","","","9999-1/2-/31","","0","17 ","","17","S/Analise","","0","11","11","S/Analise","","0.5",""
"3509","ABRACADEIRA 4,5"" CROMADA C/ SUPORTE RETO ALÇA","","","","","","","","B072Q","","","","","","","PC ","50.75 ","","53.74 ","","","S1   ","6.00 ","8.00 ","","-2","LOJA RP OK","","","9999-1/2-/31","","0","134 ","","134","S/Analise","","0","2","2","S/Analise","","0",""
"3433","ABRACADEIRA 4,5"" INOX TUBO CATALISADOR - SC 124 ORIGINAL C/CANALETA","","","","","","","","B069","","A6939970190","","","","","PC ","47.48 ","","49.25 ","","","S1   ","4.00 ","5.00 ","","-1","LOJA RP OK","","","9999-1/2-/31","","0","47 ","","47","S/Analise","","0","0","0","C/Analise","","0",""
"31824","ABRACADEIRA 4,5"" INOX TUBO CATALISADOR - SC 124 ORIGINAL C/CANALETA","","","","","","","","B069","","","","","7441","","PC ","47.48 ","","47.48 ","","","S1   ","2.00 ","5.00 ","","-3","SALÃO OK","","","9999-1/2-/31","","0","5 ","","5","S/Analise","","0","2","2","S/Analise","","1",""
"31331","ABRACADEIRA 4,5"" INOX TUBO FLEXIVEL - VOLVO EDC / MB 1938 FINA","","","","","","","","B071Z","","6344920640","","","7453","","PC ","53.39 ","","43.46 ","","","S1   ","0.00 ","3.00 ","","-3","SALÃO OK","","","9999-1/2-/31","","0","12 ","","12","S/Analise","","0","8","8","S/Analise","","1",""
"3491","ABRACADEIRA 4,5"" INOX TUBO FLEXIVEL - VOLVO EDC / MB 1938 FINA","","","","","","","","B071Z","","6344920640","","","","","PC ","36.42 ","","28.52 ","","","S1   ","3.00 ","4.00 ","","-1","LOJA RP OK","","","9999-1/2-/31","","0","23 ","","23","S/Analise","","0","1","1","S/Analise","","0",""
"3510","ABRACADEIRA 4,5"" PINTADA C/ SUPORTE RETO ALCA ","","","","","","","","B072R","","","","","","","PC ","36.78 ","","25.64 ","","","S1   ","3.00 ","3.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","9 ","","9","S/Analise","","0","2","2","S/Analise","","0",""
"31523","ABRACADEIRA 4,5"" PINTADA C/ SUPORTE RETO ALCA","","","","","","","","B072R","","","","","7461","","PC ","29.40 ","","29.40 ","","","S1   ","1.00 ","1.00 ","","0","SALÃO OK","","","9999-1/2-/31","","0","8 ","","8","S/Analise","","0","0","0","C/Analise","","0.5",""
"30854","ABRACADEIRA 4,5"" PINTADA DUPLA FIXAÇÃO","","","","","","","","B070N","","543771","","","","","PC ","12.33 ","","12.26 ","","","S1   ","0.00 ","0.00 ","","0","SALÃO 11/2017","","","9999-1/2-/31","","0","8 ","","8","S/Analise","","0","5","5","S/Analise","","0",""
"3457","ABRACADEIRA 4,5"" PINTADA DUPLA FIXAÇÃO","","","","","","","","B070N","","543771","","","","","PC ","15.59 ","","15.45 ","","","S1   ","4.00 ","4.00 ","","0","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","143 ","","143","S/Analise","","0","2","2","S/Analise","","0",""
"3487","ABRACADEIRA 4,5"" PINTADA DUPLA FIXAÇÃO C/ SUPORTE COXIM APOIO ","","","","","","","","B071V","","","","","","","PC ","0.00 ","","0.00 ","","","S1   ","0.00 ","0.00 ","","0","LEVE","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","0","0","C/Analise","","0",""
"3436","ABRACADEIRA 4,5"" PINTADA TUBO ESCAPAMENTO - MB 1938S 2003...","","","","","","","","B069C","","6964927040","","","","","PC ","12.58 ","","12.26 ","","","S1   ","1.00 ","3.00 ","","-2","LOJA RP OK","","","9999-1/2-/31","","0","16 ","","16","S/Analise","","0","0","0","C/Analise","","0",""
"35284","ABRACADEIRA 4,5"" PINTADA TUBO ESCAPAMENTO - MB 1938S 2003...","","","","","","","","B069C","","6964927040","","","7473","","PC ","16.22 ","","15.95 ","","","S1   ","2.00 ","2.00 ","","0","SALÃO OK","","","9999-1/2-/31","","0","2 ","","2","S/Analise","","0","6","6","S/Analise","","0.05",""
"3730","ABRACADEIRA 4,5"" PINTADA TUBO SAIDA - SCANIA T/R 124","","","","","","","","S304C","","","","","","","PC ","13.99 ","","9.81 ","","","S1   ","4.00 ","4.00 ","","0","FALTA BALANÇO","","","9999-1/2-/31","","0","8 ","","8","S/Analise","","0","0","0","C/Analise","","0",""
"3465","ABRACADEIRA 4,5"" PINTADA TUBO TERMINAL - SC 113 (C/SUP)","","","","","","","","B070V","","1673090","","","","","PC ","0.00 ","","0.00 ","","","S1   ","7.00 ","8.00 ","","-1","FALTA BALANÇO","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","0","0","C/Analise","","0",""
"3520","ABRACADEIRA 5"" CROMADA C/ SUPORTE RETO ALÇA ","","","","","","","","B074F","","","","","","","PC ","54.08 ","","56.69 ","","","S1   ","6.00 ","6.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","38 ","","38","S/Analise","","0","2","2","S/Analise","","0",""
"32181","ABRACADEIRA 5"" CROMADA C/ SUPORTE RETO ALÇA ","","","","","","","","B074F","","BEPO","","","","","PC ","35.54 ","","38.02 ","","","S1   ","0.00 ","0.00 ","","0","TROCAR FISCAL","","","9999-1/2-/31","","0","26 ","","26","S/Analise","","0","8","8","S/Analise","","0",""
"40315","ABRACADEIRA 5"" CROMADA C/ SUPORTE RETO ALÇA ","","","","","","","","B074F","","","","","6987","","PC ","55.14 ","","54.76 ","","","S1   ","4.00 ","6.00 ","","-2","SALÃO OK","","","9999-1/2-/31","","0","6 ","","6","S/Analise","","0","7","7","S/Analise","","0.5",""
