"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"106","PERFIL BORR.CINTA TQ.150L NAVISTAR","","","","","","","","I2396","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"107","PERFIL (A3849870101) INFERIOR MICRORIO 100MM","","","","","","","","I1761","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"108","SELO MR-(94725404) DIANT.DEFL.AR DIANT.TETO","","","","","","","","I2047","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"109","PERFIL ""U"" TQ.(A3849870135) 300L OF/OH","","","","","","","","I494","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"116","MANTA FILTRANTE COM CARVAO ATIVADO","","","","","","","","B061C","","","","","","","PC ","00.00","","00.00","","","S2   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"118","CAPA ESP.RETR.CONV.MB LN 709/912","","","","","","","","B0026H","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"120","ESPELHO RETROVISOR GM D60 (COMLETO)","","","","","","","","C521","","","","","","","PC ","00.11","","00.12","","","S1   ","00.00","00.00","","0","LOJA RP OK","","","9999-1/2-/31","","0","00","","3","S/Analise","","0","0","0","C/Analise","","0",""
"121","ESPELHO RETROVISOR FORD F1000 ATE 85 (COMPLETO)","","","","","","","","D640","","","","","","","JG","00.07","","00.08","","","S1   ","00.00","00.00","","-1","MINIMO AVALIAÇÃO","","","9999-1/2-/31","","0","00","","6","S/Analise","","0","1","1","S/Analise","","0",""
"123","ESPELHO RETROVISOR FORD F6000/7000/8000/11000/13000/21 (COMPLETO)","","","","","","","","D642","","","","","","","JG ","00.14","","00.13","","","S1   ","00.00","00.00","","0","LOJA RP OK","","","9999-1/2-/31","","0","00","","7","S/Analise","","0","1","1","S/Analise","","0",""
"124","VIDRO ESPELHO FORD F1000/D 10 (M026A)","","","","","","","","D716A","","","","","","","PC ","00.00","","00.00","","","S1   ","00.01","00.01","","-1","LEVE","","","9999-1/2-/31","","0","00","","6","S/Analise","","0","0","0","C/Analise","","0",""
"125","VIDRO ESPELHO MB 1618/1941 HPN PRINCIPAL PLANO (M025E)","","","","","","","","D716B","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"126","VIDRO ESPELHO SCANIA L111 (S237A)","","","","","","","","D717","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"128","VIDRO ESPELHO SCANIA 112/113 (S239)","","","","","","","","D720A","","","","","","","PC ","00.02","","00.02","","","S1   ","00.01","00.00","","2","LOJA RP OK","","","9999-1/2-/31","","0","00","","15","S/Analise","","0","0","0","C/Analise","","0",""
"129","VIDRO ESPELHO ONIBUS INTERNO MEDIO (M0237)","","","","","","","","D720B","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
